M_G,G-RP,BP-RP
7.57,1.036,2.11
7.572,0.878,1.679
7.572,1.029,2.098
7.574,1.024,1.991
7.576,0.888,1.715
7.577,0.893,1.725
7.578,0.928,1.8
7.578,1.087,2.31
7.581,0.983,1.967
7.581,0.975,1.949
7.586,0.883,1.703
7.587,0.882,1.696
7.588,0.899,1.742
7.588,1.154,2.475
7.589,0.971,1.895
7.59,0.605,1.052
7.593,0.929,1.82
7.594,0.993,1.987
7.599,1.215,1.797
7.603,0.908,1.752
7.603,1.176,2.474
7.603,0.922,1.797
7.603,0.927,1.786
7.603,0.917,1.785
7.607,1.053,2.167
7.607,0.892,1.722
7.609,0.96,1.896
7.611,0.919,1.797
7.615,1.058,1.728
7.617,0.828,1.558
7.617,0.894,1.728
7.619,0.89,1.716
7.619,0.868,1.664
7.622,0.991,1.989
7.624,0.942,1.852
7.626,0.905,1.765
7.626,0.885,1.712
7.626,0.953,1.881
7.626,0.893,1.725
7.628,0.905,1.755
7.63,1.297,1.788
7.63,0.912,1.762
7.635,0.878,1.679
7.637,1.105,2.235
7.639,1.001,1.765
7.639,0.92,1.795
7.64,1.183,1.659
7.641,0.895,1.73
7.641,1,2.028
7.642,0.979,1.846
7.644,1.13,1.862
7.645,1.042,1.804
7.646,0.909,1.76
7.647,0.924,1.796
7.647,0.905,1.762
7.648,0.999,1.983
7.648,0.91,1.767
7.649,1.297,1.788
7.65,0.934,1.813
7.651,0.883,1.689
7.655,0.924,1.806
7.655,0.932,1.827
7.655,1.075,2.229
7.655,0.96,1.809
7.657,0.996,1.954
7.659,0.926,1.813
7.661,0.934,1.811
7.662,1.408,1.73
7.662,1.104,2.338
7.664,0.908,1.731
7.664,0.945,1.858
7.666,0.929,1.815
7.669,0.844,1.604
7.669,0.911,1.768
7.669,0.935,1.828
7.67,0.889,1.706
7.671,0.912,1.776
7.674,0.965,1.913
7.675,0.953,1.88
7.676,0.918,1.796
7.676,1.035,1.895
7.677,1.009,2.008
7.677,0.936,1.825
7.677,1.06,2.057
7.678,0.941,1.841
7.679,0.882,1.693
7.68,1.034,1.7
7.68,1.001,2.009
7.68,0.957,1.867
7.681,0.932,1.824
7.686,0.926,1.805
7.687,0.973,1.926
7.689,1.06,2.19
7.691,1.01,2.044
7.691,0.892,1.725
7.692,0.868,1.651
7.692,0.885,1.701
7.692,0.939,1.838
7.694,0.937,1.843
7.697,1.17,1.858
7.697,0.965,1.895
7.702,1.011,2.011
7.709,0.993,1.932
7.71,1.023,2.072
7.711,0.964,1.913
7.713,0.939,1.669
7.716,1.101,2.353
7.72,0.924,1.804
7.721,0.88,1.685
7.727,1.422,1.444
7.727,0.936,1.832
7.729,0.92,1.794
7.731,0.976,1.942
7.731,0.799,1.48
7.735,0.916,1.779
7.736,0.935,1.828
7.737,0.888,1.703
7.737,0.942,1.855
7.739,0.89,1.716
7.741,0.91,1.768
7.741,0.926,1.814
7.744,1.075,1.871
7.744,0.956,1.856
7.745,0.919,1.79
7.745,0.947,1.864
7.751,0.905,1.758
7.751,0.921,1.789
7.752,0.944,1.853
7.753,0.987,1.98
7.754,1.045,1.826
7.755,0.923,1.805
7.758,0.908,1.734
7.76,0.987,1.996
7.76,0.915,1.77
7.76,0.943,1.857
7.761,1.004,2.03
7.762,0.899,1.739
7.764,1.017,1.833
7.771,0.991,1.96
7.774,0.934,1.835
7.775,0.989,1.976
7.777,0.909,1.757
7.779,0.981,1.95
7.783,0.906,1.751
7.784,0.934,1.837
7.785,0.95,1.862
7.787,0.954,1.881
7.787,0.906,1.761
7.788,0.948,1.826
7.79,0.882,1.69
7.793,1.133,2.447
7.798,0.917,1.787
7.798,0.921,1.79
7.802,0.951,1.879
7.802,0.955,1.88
7.803,1.01,1.842
7.805,1.051,1.849
7.806,0.971,1.918
7.807,0.918,1.793
7.809,0.921,1.799
7.811,0.929,1.825
7.811,0.925,1.793
7.817,1.01,2.029
7.818,1.581,1.871
7.818,0.995,1.969
7.819,1.13,1.915
7.82,0.95,1.877
7.82,0.979,1.93
7.822,0.921,1.799
7.823,1.07,1.8
