M_G,G-RP
13.01,1.364
13.012,1.531
13.017,1.253
13.018,1.375
13.02,1.379
13.024,1.327
13.024,1.853
13.029,1.701
13.029,1.955
13.03,1.345
13.03,1.352
13.03,1.363
13.032,1.346
13.037,1.356
13.041,1.351
13.047,1.457
13.052,1.335
13.055,1.326
13.068,1.333
13.068,1.35
13.068,1.362
13.076,1.386
13.077,1.354
13.084,1.324
13.107,1.386
13.113,1.356
13.119,1.29
13.125,1.464
13.132,1.279
13.132,1.387
13.133,1.346
13.134,1.359
13.135,1.361
13.135,1.369
13.135,1.401
13.136,1.358
13.142,1.396
13.144,1.427
13.155,1.592
13.166,1.368
13.168,1.363
13.18,1.435
13.186,1.365
13.195,1.324
13.196,1.364
13.202,1.394
13.203,1.372
13.204,1.35
13.205,1.381
13.22,1.38
13.235,1.37
13.235,1.376
13.24,1.386
13.248,1.38
13.255,1.379
13.259,1.478
13.268,1.355
13.273,1.599
13.276,1.365
13.28,1.375
13.287,1.361
13.291,1.355
13.293,1.382
13.307,1.366
13.323,1.396
13.326,1.373
13.329,1.386
13.335,1.409
13.34,1.634
13.342,1.377
13.344,1.378
13.355,1.602
13.362,1.387
13.364,1.356
13.364,1.393
13.367,1.395
13.369,1.392
13.37,1.394
13.374,1.457
13.385,1.411
13.388,1.42
13.39,1.347
13.403,1.396
13.411,1.409
13.413,1.389
13.415,1.383
13.428,1.389
13.435,1.392
13.447,1.369
13.447,1.4
13.449,1.397
13.452,1.348
13.473,1.415
13.476,1.419
13.477,1.393
13.488,1.406
13.494,1.397
13.495,1.392
13.496,1.372
13.514,1.417
13.527,1.442
13.548,1.558
13.556,1.39
13.561,1.4
13.564,1.41
13.565,1.427
13.574,1.451
13.576,1.406
13.585,1.433
13.587,1.408
13.59,1.358
13.596,1.395
13.602,1.369
13.613,1.401
13.634,1.407
13.639,1.513
13.647,1.406
13.655,1.411
13.665,1.407
13.666,1.382
13.666,1.442
13.668,1.413
13.707,1.409
13.718,1.419
13.748,1.411
13.755,1.368
13.755,1.503
13.759,1.406
13.767,1.572
13.786,1.423
13.797,1.409
13.845,1.424
13.908,1.477
13.952,1.428
