SpT,Teff,logT,logL,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,g-r,i-z,z-Y,R_Rsun,Msun
L2V,2060,3.314,-3.820,14.280,-6.620,20.900,,,,,1.690,17.300,,,,5.050,9.900,0.890,0.580,0.470,0.280,,,12.470,11.000,,2.040,0.900,0.097,0.075
L3V,1920,3.283,-3.960,14.650,-7.050,21.700,,,,,1.700,18.100,,,,5.290,10.100,0.970,0.610,0.500,0.290,,,12.780,11.400,,2.100,0.920,0.094,
L4V,1870,3.272,-4.010,14.770,-7.530,22.300,,,,,1.740,18.350,,,,5.570,10.500,1.000,0.630,0.600,0.300,,,13.090,11.500,,2.200,0.940,0.094,
L5V,1710,3.233,-4.200,15.230,-7.870,,,,,,1.710,18.500,,,,6.280,11.100,1.020,0.648,0.680,0.320,,,13.460,11.870,,2.330,0.970,0.091,
L6V,1550,3.190,-4.380,15.700,,,,,,,1.740,19.250,,,,,,1.060,0.654,0.760,0.360,,,13.890,12.200,,2.510,1.000,0.089,
L7V,1530,3.185,-4.410,15.770,,,,,,,2.110,19.300,,,,,,1.130,0.645,0.840,0.410,,,14.310,12.550,,2.710,1.040,0.089,
L8V,1420,3.152,-4.550,16.120,,,,,,,1.870,20.000,,,,,,1.160,0.625,0.845,0.480,,,14.650,12.740,,2.930,1.090,0.088,
L9V,1370,3.137,-4.610,16.270,,,,,,,,,,,,,,1.180,0.590,0.820,0.570,,,14.820,12.930,,3.150,1.160,0.088,
T0V,1255,3.099,-4.660,16.390,,,,,,,,,,,,,,1.020,0.540,0.700,0.680,,,14.810,13.120,,3.360,1.230,0.098,
T1V,1240,3.093,-4.690,16.470,,,,,,,,,,,,,,1.020,0.450,0.580,0.820,,,14.630,13.290,,3.550,1.330,0.100,
T2V,1220,3.086,-4.730,16.570,,,,,,,,,,,,,,0.860,0.270,0.530,0.990,,,14.520,13.450,,3.700,1.430,0.100,
T3V,1200,3.079,-4.770,16.670,,,,,,,,,,,,,,0.680,0.080,,1.190,,,14.450,13.520,,3.820,1.550,0.102,
T4V,1180,3.072,-4.840,16.840,,,,,,,,,,,,,,0.350,-0.190,,1.430,,,14.550,14.200,,3.900,1.680,0.101,
T4.5V,1170,3.068,-4.900,16.990,,,,,,,,,,,,,,0.200,-0.060,,1.570,,,14.690,14.550,,3.930,1.750,0.099,
T5V,1160,3.064,-4.950,17.120,,,,,,,,,,,,,,0.200,-0.080,,1.700,,,14.880,14.900,,3.950,1.810,0.101,
T5.5V,1040,3.017,-5.040,17.340,,,,,,,,,,,,,,0.200,-0.100,,1.860,,,15.130,15.100,,3.970,1.890,0.099,
T6V,950,2.978,-5.120,17.540,,,,,,,,,,,,,,0.100,-0.030,,2.000,,,15.340,15.300,,3.980,1.960,0.100,
T7V,825,2.916,-5.370,18.170,,,,,,,,,,,,,,0.000,0.000,,2.400,,,15.830,15.800,,4.010,2.110,0.098,
T7.5V,750,2.875,-5.540,18.590,,,,,,,,,,,,,,0.200,-0.050,,2.600,,,16.610,16.500,,4.050,2.190,0.095,
T8V,680,2.833,-5.710,19.020,,,,,,,,,,,,,,0.200,-0.050,,2.800,,,17.300,16.900,,4.080,2.260,0.095,
T8.5V,600,2.778,-5.930,19.570,,,,,,,,,,,,,,0.200,,,3.000,,,18.050,18.300,,,,0.097,
T9V,560,2.748,-6.150,20.120,,,,,,,,,,,,,,0.100,-0.200,,3.200,,,18.510,18.600,,,,0.100,
T9.5V,510,2.708,,,,,,,,,,,,,,,,,,,3.400,,,19.750,20.500,,,,,
Y0V,450,2.653,-6.520,21.040,,,,,,,,,,,,,,,-0.500,,3.600,,,20.150,21.000,,,,0.104,
Y0.5V,400,2.602,,,,,,,,,,,,,,,,,-0.600,,3.900,,,22.000,21.600,,,,,
Y1V,360,2.556,,,,,,,,,,,,,,,,,,,4.100,,,22.700,22.200,,,,,
Y1.5V,325,2.512,,,,,,,,,,,,,,,,,-0.800,,4.400,,,23.200,22.900,,,,,
Y2V,320,2.505,,,,,,,,,,,,,,,,,,,4.700,,,23.600,23.500,,,,,
Y4V,250,2.398,,,,,,,,,,,,,,,,,,,6.100,,,28.200,,,,,,
