Type,Teff,log g,M/Mo,Mbol,BC,U,B,V,R,I,2MASS_J,2MASS_H,2MASS_Ks,MKO_Y,MKO_J,MKO_H,MKO_K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DB,37000,8.5,0.927,6.918,-3.766,9.24,10.458,10.684,10.822,10.977,11.349,11.472,11.569,11.249,11.328,11.442,11.547,11.632,11.676,11.744,11.777,11.641,11.672,11.699,11.724,10.079,10.431,10.906,11.262,11.591,10.479,10.908,11.272,11.543,11.741,10.647,10.426,10.909,10.657,10.507,10.936,9.053,9.481,9.63E+06
DB,38000,8.5,0.927,6.801,-3.837,9.181,10.407,10.639,10.779,10.937,11.313,11.437,11.536,11.211,11.292,11.408,11.514,11.601,11.645,11.717,11.754,11.61,11.642,11.67,11.696,10.02,10.382,10.862,11.221,11.552,10.431,10.864,11.23,11.503,11.703,10.6,10.376,10.868,10.611,10.457,10.895,8.957,9.406,7.77E+06
DB,39000,8.5,0.928,6.687,-3.906,9.122,10.355,10.594,10.736,10.897,11.277,11.402,11.503,11.174,11.256,11.373,11.481,11.569,11.615,11.691,11.73,11.579,11.611,11.64,11.668,9.962,10.333,10.818,11.18,11.513,10.383,10.821,11.189,11.464,11.664,10.554,10.327,10.827,10.564,10.408,10.853,8.86,9.331,6.38E+06
DB,40000,8.5,0.929,6.576,-3.972,9.064,10.304,10.548,10.692,10.856,11.241,11.368,11.47,11.136,11.22,11.338,11.448,11.538,11.585,11.665,11.706,11.548,11.581,11.611,11.641,9.903,10.284,10.774,11.138,11.473,10.335,10.777,11.148,11.424,11.626,10.507,10.277,10.785,10.517,10.359,10.812,8.763,9.256,5.34E+06
DB,42500,8.5,0.931,6.311,-4.117,8.904,10.166,10.427,10.575,10.746,11.141,11.271,11.377,11.033,11.121,11.242,11.356,11.451,11.501,11.583,11.614,11.462,11.497,11.529,11.56,9.744,10.152,10.656,11.026,11.365,10.206,10.659,11.036,11.316,11.52,10.382,10.143,10.673,10.391,10.227,10.7,8.502,9.055,3.72E+06
DB,45000,8.5,0.933,6.06,-4.248,8.753,10.033,10.309,10.462,10.641,11.047,11.182,11.292,10.935,11.026,11.152,11.27,11.37,11.422,11.504,11.527,11.381,11.418,11.451,11.482,9.593,10.024,10.542,10.918,11.263,10.081,10.545,10.928,11.212,11.42,10.261,10.014,10.565,10.27,10.1,10.592,8.251,8.857,2.81E+06
DB,47500,8.5,0.935,5.823,-4.328,8.551,9.856,10.151,10.312,10.5,10.922,11.062,11.177,10.807,10.901,11.032,11.156,11.259,11.312,11.384,11.392,11.271,11.307,11.34,11.367,9.391,9.854,10.39,10.775,11.126,9.916,10.393,10.785,11.075,11.288,10.099,9.842,10.422,10.108,9.93,10.449,7.988,8.614,2.22E+06
DB,50000,8.5,0.937,5.599,-4.358,8.311,9.638,9.957,10.112,10.304,10.735,10.871,10.984,10.623,10.714,10.841,10.963,11.059,11.106,11.168,11.181,11.07,11.102,11.13,11.153,9.151,9.645,10.191,10.576,10.931,9.713,10.195,10.587,10.878,11.099,9.894,9.629,10.226,9.903,9.72,10.253,7.793,8.393,1.82E+06
DB,52500,8.5,0.938,5.385,-4.494,8.216,9.55,9.878,10.03,10.223,10.656,10.789,10.902,10.544,10.635,10.759,10.881,10.978,11.028,11.103,11.127,10.989,11.024,11.055,11.083,9.057,9.561,10.109,10.495,10.85,9.631,10.113,10.505,10.797,11.019,9.811,9.543,10.145,9.819,9.635,10.172,7.709,8.306,1.53E+06
DB,55000,8.5,0.94,5.181,-4.657,8.167,9.504,9.837,9.989,10.183,10.618,10.751,10.865,10.505,10.597,10.721,10.844,10.942,10.993,11.071,11.097,10.953,10.989,11.021,11.05,9.008,9.517,10.067,10.454,10.811,9.588,10.072,10.465,10.757,10.981,9.768,9.499,10.104,9.776,9.59,10.131,7.655,8.256,1.31E+06
