M_G,G-RP,BP-RP
13.342,1.394,3.623
10.906,-0.163,-0.237
7.399,0.881,1.695
10.107,1.16,2.556
8.31,0.953,1.886
6.881,0.838,1.434
5.767,0.609,1.047
11.139,1.187,2.659
10.118,1.154,2.537
14.376,0.466,0.813
15.557,0.756,1.012
14.122,0.411,0.791
16.344,1.577,2.818
11.989,1.301,3.19
5.543,0.638,1.112
9.379,1.2,2.188
11.115,1.216,2.791
7.062,0.778,1.438
13.317,1.396,3.579
6.38,0.683,1.227
10.121,1.185,2.656
4.449,0.529,0.89
8.672,1.039,2.127
10.895,1.206,2.743
10.488,1.147,2.496
8.737,1.053,2.174
11.118,1.145,2.501
13.263,1.509,4.104
11.298,1.23,2.877
10.976,1.145,2.506
13.736,1.449,3.881
15.105,1.518,3.572
13.36,1.391,3.674
4.773,0.526,0.886
10.925,1.445,2.851
8.474,1.024,2.076
12.058,1.306,3.183
8.221,0.961,1.913
11.206,1.276,3.056
11.715,1.264,3.045
14.049,0.303,0.507
9.926,1.176,2.61
14.022,0.407,0.691
8.818,1.006,2.032
12.685,1.317,3.329
12.731,1.354,3.457
12.959,1.375,3.435
5.107,0.525,0.879
11.165,1.194,2.693
8.149,1.165,2.088
10.841,1.272,2.952
14.077,0.301,0.603
13.241,1.364,3.618
11.683,1.231,2.842
10.553,1.192,2.698
9.226,1.222,2.332
14.716,1.566,3.163
12.05,1.283,3.135
12.053,1.363,3.539
10.73,1.173,2.611
16.815,0.772,1.576
12.426,1.303,3.206
11.44,1.192,2.694
14.198,1.571,3.959
11.494,1.259,3.014
13.084,1.339,3.468
10.313,1.14,2.474
13.513,1.44,3.819
10.682,1.229,2.845
14.669,1.497,3.238
14.346,0.644,1.045
12.656,1.333,3.493
10.988,1.211,2.795
13.971,1.468,4.279
14.487,1.489,4.355
8.875,1.107,2.216
12.29,1.291,3.136
4.799,0.5,0.83
11.51,1.263,3.029
9.882,1.253,2.867
11.373,1.236,2.878
11.971,1.255,2.98
5.943,0.622,1.085
12.775,1.337,3.427
8.801,1.079,2.077
12.232,1.297,3.224
12.024,1.282,3.17
9.591,1.221,2.807
10.647,1.202,2.735
8.529,0.999,2.007
12.803,1.312,3.298
10.407,1.215,2.785
9.969,1.178,2.617
11.41,1.185,2.657
10.464,1.117,2.404
9.636,1.154,2.517
6.797,0.765,1.41
9.821,1.284,3.096
11.899,1.293,3.177
11.854,1.292,3.163
9.07,1.031,2.115
5.054,0.554,0.935
13.516,1.572,3.15
8.712,1.001,2.018
8.784,0.958,1.9
13.127,0.297,0.437
13.958,0.323,0.457
10.652,1.22,2.81
13.601,1.427,3.828
13.64,0.322,0.562
12.244,1.832,3.058
5.308,0.564,0.966
11.416,1.203,2.752
9.933,1.151,2.521
10.064,1.163,2.55
11.04,1.32,3.069
10.883,1.315,2.956
15.61,1.569,5.101
10.428,1.171,2.594
13.697,1.413,3.84
11.993,0.038,0.005
9.517,1.189,2.659
11.036,1.216,2.798
8.694,1.005,2.034
9.407,1.142,2.47
14.789,0.337,0.565
6.968,0.763,1.401
8.148,0.982,1.959
12.718,1.31,3.347
10.942,1.156,2.558
9.589,1.207,2.729
15.355,1.783,2.78
9.993,1.174,2.615
12.731,1.351,3.534
15.419,1.357,2.04
14.633,0.624,1.104
8.662,0.999,1.998
11.04,1.179,2.618
13.667,0.225,0.383
15.317,0.726,1.223
14.128,1.464,3.468
4.423,0.695,0.78
8.189,0.975,1.944
11.641,1.261,2.994
11.79,1.259,2.99
9.803,1.113,2.379
5.832,0.599,1.041
6.917,0.761,1.397
11.856,1.36,3.354
15.18,1.462,2.889
11.557,1.213,2.779
8.342,1.259,2.336
3.156,0.49,0.773
9.293,1.36,2.211
14.524,0.537,0.904
15.155,0.635,1.127
10.881,1.2,2.722
14.45,1.511,3.317
4.378,0.467,0.765
10.474,1.179,2.642
12.559,1.334,3.401
14.522,1.556,4.181
14.759,1.48,3.66
10.714,1.194,2.703
11.79,1.232,2.875
12.98,1.406,3.788
11.65,1.232,2.888
2.963,0.403,0.637
6.901,0.75,1.369
11.252,1.191,2.694
11.802,1.858,3.081
13.982,1.502,3.788
6.228,0.654,1.148
8.616,0.997,2.007
12.24,0.111,0.182
14.025,1.466,3.947
14.494,1.494,3.998
9.728,1.114,2.375
6.148,0.648,1.138
5.429,0.558,0.948
6.009,0.607,1.05
9.002,1.061,2.204
15.569,0.756,1.577
11.861,1.522,3.042
10.866,1.167,2.576
11.837,1.275,3.021
14.048,1.459,3.919
7.29,0.881,1.586
13.404,1.413,3.731
6.73,0.724,1.31
12.599,-0.03,-0.022
6.643,0.737,1.339
9.615,1.126,2.428
9.429,1.062,2.205
10.105,1.142,2.483
6.04,0.627,1.083
12.681,1.98,1.731
12.924,1.335,3.462
10.965,1.215,2.781
8.173,0.941,1.847
11.03,1.16,2.541
7.275,0.903,1.605
10.374,1.275,3
5.5,0.69,1.232
6.442,0.702,1.26
10.077,1.163,2.578
9.849,1.191,2.684
13.415,1.391,3.712
8.181,0.965,1.906
15.315,1.612,2.844
10.584,1.166,2.567
6.578,0.847,1.602
9.335,1.105,2.311
11.155,1.217,2.804
3.186,0.35,0.549
15.001,0.66,1.164
14.971,1.513,2.849
6.395,0.662,1.159
7.975,0.948,1.871
5.234,0.519,0.876
11.993,1.258,2.966
12.722,1.339,3.443
11.961,1.274,3.049
5.09,0.511,0.855
15.525,0.387,0.446
10.597,1.172,2.597
9.555,1.142,2.487
11.259,1.244,2.925
11.663,-0.065,-0.071
10.761,1.207,2.756
10.404,1.121,2.409
12.721,1.351,3.482
6.599,0.722,1.3
12.166,1.302,3.187
10.057,1.149,2.507
11.986,1.336,3.346
11.039,1.236,2.855
7.764,0.964,1.914
9.532,1.085,2.286
10.76,1.193,2.695
16.409,1.75,2.304
4.762,0.483,0.804
9.665,1.128,2.426
15.205,0.228,1.167
10.038,1.152,2.521
11.641,1.201,2.745
13.988,1.474,3.78
12.997,1.37,3.635
10.008,1.2,2.714
13.298,1.467,4.005
10.381,1.199,2.709
3.763,0.591,0.923
11.97,0.03,0.071
10.563,1.245,2.881
12.184,1.303,3.216
16.634,1.586,3.596
12.94,1.459,3.714
11.357,1.235,2.884
13.668,0.257,0.423
11.444,1.244,2.981
7.741,0.989,1.817
4.499,0.546,0.924
10.579,1.253,2.918
10.887,1.138,2.477
5.804,0.674,1.162
11.973,1.295,3.144
10.591,1.13,2.528
8.702,1.016,2.065
4.469,0.526,0.651
4.422,0.499,0.706
8.604,1.04,2.138
12.839,1.338,3.418
13.142,0.167,0.268
11.772,1.27,3.013
9.962,1.16,2.551
10.137,1.162,2.573
11.787,1.364,2.93
9.592,1.124,2.381
13.837,1.459,3.695
6.203,0.678,1.199
13.748,0.396,0.695
14.217,0.506,0.796
11.754,1.332,3.283
12.724,1.339,3.426
12.117,1.346,3.417
13.671,1.496,4.219
14.501,1.534,4.131
12.864,1.524,3.719
8.886,1.085,2.27
14.023,0.547,0.88
10.165,1.201,2.726
8.667,1.067,2.204
10.458,1.179,2.632
9.99,1.132,2.442
9.716,1.115,2.383
11.686,1.275,3.065
12.799,1.35,3.488
14.218,0.464,0.776
14.551,1.481,4.437
10.651,1.153,2.531
12.114,1.214,2.803
8.903,1.074,2.249
11.474,1.24,2.914
2.039,0.37,0.583
10.85,1.238,2.883
15.204,0.766,1.455
11.119,1.314,2.796
11.557,1.284,3.111
11.088,1.286,3.126
13.927,0.437,0.716
8.948,1.07,2.223
3.898,0.418,0.672
12.847,1.459,2.496
10.371,1.188,2.686
9.073,1.084,2.282
11.145,1.203,2.756
9.085,1.096,2.323
11.849,1.208,2.778
14.102,1.488,3.746
7.301,0.836,1.582
9.91,1.139,2.483
10.678,1.585,2.769
10.254,1.151,2.533
6.6,0.705,1.249
10.506,1.143,2.488
11.29,1.204,2.756
12.475,1.315,3.261
12.9,1.417,3.891
10.434,1.25,2.572
10.422,1.526,2.52
10.28,1.56,2.438
9.896,1.156,2.519
15.657,1.694,3.38
14.807,0.64,1.112
15.256,1.332,1.961
11.603,1.258,2.997
9.996,1.164,2.569
7.894,0.953,1.888
8.942,1.05,1.975
6.519,0.964,1.411
14.87,0.716,1.351
10.342,1.131,2.43
15.076,0.696,1.305
13.072,1.367,3.512
8.796,1.045,2.155
12.75,1.336,3.303
12.847,1.433,3.753
14.956,1.392,2.663
6.629,0.709,1.275
10.154,1.116,2.378
14.56,1.469,2.503
10.272,1.203,2.727
8.943,1.107,2.358
10.891,1.207,2.777
8.375,0.985,1.973
5.316,0.633,1.097
10.136,1.184,2.663
12.086,1.281,3.116
6.035,0.592,1.015
9.553,1.181,2.465
8.315,0.986,1.978
9.32,1.076,2.253
8.965,1.073,2.239
9.89,1.131,2.454
6.98,0.745,1.352
10.924,1.406,2.967
6.981,0.988,1.955
10.675,1.214,2.775
8.874,0.97,1.926
10.632,1.22,2.806
11.352,1.222,2.841
3.974,0.445,0.717
