Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
29000,7.262,8.374,8.573,8.686,8.821,9.143,9.246,9.326,8.102,8.334,8.772,9.115,9.428,8.577,8.445,8.796,-1.112,-0.199,-0.113,-0.135,-0.103,-0.080,-0.232,-0.438,-0.343,-0.313,-0.570,-0.371,-0.219,-0.351,7,0.291,1.72E+07
30000,7.172,8.296,8.503,8.619,8.757,9.085,9.189,9.271,8.012,8.259,8.704,9.050,9.366,8.507,8.371,8.731,-1.124,-0.207,-0.116,-0.138,-0.104,-0.082,-0.247,-0.445,-0.346,-0.316,-0.582,-0.381,-0.224,-0.360,7,0.296,1.57E+07
31000,7.083,8.220,8.435,8.552,8.694,9.028,9.134,9.217,7.924,8.186,8.637,8.986,9.304,8.437,8.298,8.668,-1.137,-0.215,-0.117,-0.142,-0.106,-0.083,-0.262,-0.451,-0.349,-0.318,-0.593,-0.391,-0.231,-0.370,7,0.301,1.44E+07
32000,6.997,8.145,8.367,8.487,8.632,8.971,9.078,9.163,7.838,8.114,8.571,8.923,9.244,8.368,8.226,8.604,-1.148,-0.222,-0.120,-0.145,-0.107,-0.085,-0.276,-0.457,-0.352,-0.321,-0.604,-0.400,-0.236,-0.378,7,0.306,1.33E+07
33000,6.912,8.071,8.300,8.422,8.571,8.915,9.024,9.110,7.753,8.043,8.506,8.861,9.184,8.300,8.155,8.542,-1.159,-0.229,-0.122,-0.149,-0.109,-0.086,-0.290,-0.463,-0.355,-0.323,-0.615,-0.409,-0.242,-0.387,7,0.311,1.23E+07
34000,6.829,7.998,8.234,8.358,8.510,8.859,8.970,9.057,7.670,7.972,8.441,8.799,9.125,8.233,8.085,8.481,-1.169,-0.236,-0.124,-0.152,-0.111,-0.087,-0.302,-0.469,-0.358,-0.326,-0.625,-0.418,-0.248,-0.396,7,0.316,1.13E+07
35000,6.746,7.926,8.168,8.295,8.450,8.803,8.916,9.005,7.588,7.903,8.377,8.737,9.066,8.166,8.015,8.419,-1.180,-0.242,-0.127,-0.155,-0.113,-0.089,-0.315,-0.474,-0.360,-0.329,-0.635,-0.426,-0.253,-0.404,7,0.321,1.05E+07
36000,6.665,7.854,8.102,8.231,8.389,8.748,8.862,8.953,7.506,7.833,8.313,8.676,9.007,8.099,7.946,8.358,-1.189,-0.248,-0.129,-0.158,-0.114,-0.091,-0.327,-0.480,-0.363,-0.331,-0.646,-0.435,-0.259,-0.412,7,0.326,9777000
37000,6.583,7.782,8.037,8.168,8.329,8.692,8.808,8.900,7.425,7.764,8.249,8.615,8.948,8.033,7.876,8.297,-1.199,-0.255,-0.131,-0.161,-0.116,-0.092,-0.339,-0.485,-0.366,-0.333,-0.655,-0.443,-0.264,-0.421,7,0.331,9107000
38000,6.500,7.709,7.970,8.104,8.268,8.636,8.754,8.848,7.343,7.693,8.185,8.553,8.888,7.965,7.806,8.235,-1.209,-0.261,-0.134,-0.164,-0.118,-0.094,-0.350,-0.492,-0.368,-0.335,-0.666,-0.451,-0.270,-0.429,7,0.336,8500000
39000,6.417,7.635,7.902,8.038,8.206,8.580,8.699,8.795,7.259,7.622,8.119,8.490,8.828,7.897,7.735,8.173,-1.218,-0.267,-0.136,-0.168,-0.119,-0.096,-0.363,-0.497,-0.371,-0.338,-0.678,-0.461,-0.276,-0.438,7,0.341,7947000
40000,6.331,7.559,7.833,7.971,8.143,8.521,8.643,8.741,7.174,7.548,8.051,8.425,8.766,7.827,7.661,8.108,-1.228,-0.274,-0.138,-0.172,-0.122,-0.098,-0.374,-0.503,-0.374,-0.341,-0.688,-0.470,-0.281,-0.447,7,0.346,7443000
3500,20.226,19.143,17.313,16.183,15.170,14.119,13.643,13.351,21.098,18.271,16.592,15.827,15.382,16.417,17.523,15.362,1.083,1.830,1.130,1.013,0.476,0.292,2.827,1.679,0.765,0.445,3.194,2.473,1.055,2.161,7.5,0.313,5.31E+09
3750,19.269,18.357,16.699,15.693,14.780,13.867,13.446,13.190,20.130,17.561,16.061,15.401,15.032,15.950,16.924,14.960,0.912,1.658,1.006,0.913,0.421,0.256,2.569,1.500,0.660,0.369,2.832,2.194,0.990,1.964,7.5,0.313,4.37E+09
