Teff,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
3250.0,0.035,0.911,0.377,-0.404,-0.909,-0.928,1.325,0.72,-0.299,-0.828,-0.896,-1.171,0.228,0.438,8.5,0.898,8.7000003E9
3500.0,-0.011,0.877,0.439,-0.081,-0.916,-0.649,1.261,0.72,-0.085,-0.565,-0.54,-0.832,0.371,0.66,8.5,0.898,8.5250002E9
3750.0,-0.057,0.841,0.474,0.155,-0.901,-0.493,1.199,0.701,0.061,-0.346,-0.18,-0.473,0.472,0.822,8.5,0.898,8.3430001E9
4000.0,-0.097,0.806,0.488,0.304,-0.924,-0.386,1.143,0.675,0.145,-0.186,0.208,-0.078,0.533,0.919,8.5,0.898,8.1400003E9
4250.0,-0.137,0.772,0.489,0.395,-0.889,-0.312,1.088,0.645,0.19,-0.068,0.552,0.276,0.569,0.975,8.5,0.898,7.9090002E9
4500.0,-0.177,0.736,0.48,0.44,-0.81,-0.401,1.032,0.611,0.205,0.006,0.825,0.562,0.582,0.99,8.5,0.899,7.6569999E9
4750.0,-0.217,0.7,0.464,0.452,-0.638,-0.314,0.977,0.575,0.203,0.04,1.015,0.767,0.578,0.977,8.5,0.899,7.3709998E9
5000.0,-0.258,0.664,0.447,0.448,-0.433,-0.176,0.922,0.538,0.193,0.052,1.122,0.889,0.567,0.949,8.5,0.899,7.0829998E9
5250.0,-0.305,0.62,0.419,0.429,-0.242,-0.154,0.856,0.491,0.171,0.046,1.135,0.923,0.542,0.899,8.5,0.899,6.7549998E9
5500.0,-0.351,0.578,0.397,0.409,-0.078,-0.085,0.794,0.449,0.151,0.037,1.116,0.921,0.517,0.85,8.5,0.899,6.296E9
5750.0,-0.398,0.535,0.37,0.385,0.028,-0.039,0.73,0.404,0.126,0.023,1.061,0.885,0.488,0.795,8.5,0.899,5.7570002E9
6000.0,-0.442,0.495,0.346,0.36,0.089,-0.006,0.67,0.361,0.104,0.007,0.996,0.839,0.46,0.741,8.5,0.9,5.2829998E9
2000.0,0.712,1.468,0.383,-1.211,-0.601,-1.188,2.28,1.138,-0.909,-1.033,-1.002,-1.391,0.019,0.159,9.0,1.186,5.6120003E9
2250.0,0.605,1.161,-0.122,-1.18,-0.881,-1.537,2.107,0.375,-0.912,-1.138,-2.446,-2.318,-0.336,-0.341,9.0,1.186,5.5849999E9
2500.0,0.425,0.993,-0.297,-1.415,-0.88,-1.519,1.844,0.139,-1.175,-1.143,-2.857,-2.586,-0.638,-0.728,9.0,1.186,5.5549998E9
2750.0,0.121,0.916,-0.013,-1.343,-0.854,-1.326,1.441,0.435,-1.097,-1.166,-2.436,-2.449,-0.387,-0.421,9.0,1.186,5.5209999E9
3000.0,0.076,0.921,0.175,-0.987,-0.809,-0.986,1.381,0.6,-0.776,-1.087,-1.787,-1.946,-0.105,-0.048,9.0,1.186,5.4840003E9
3250.0,0.015,0.888,0.302,-0.627,-0.782,-0.825,1.297,0.665,-0.472,-0.939,-1.166,-1.401,0.106,0.252,9.0,1.186,5.4419999E9
3500.0,-0.035,0.852,0.391,-0.212,-0.722,-0.611,1.228,0.68,-0.189,-0.639,-0.846,-1.114,0.297,0.537,9.0,1.186,5.3910001E9
3750.0,-0.08,0.817,0.434,0.028,-0.806,-0.488,1.167,0.667,-0.028,-0.45,-0.432,-0.706,0.402,0.702,9.0,1.186,5.3260001E9
4000.0,-0.123,0.78,0.454,0.199,-0.871,-0.395,1.106,0.643,0.075,-0.286,-0.044,-0.314,0.472,0.813,9.0,1.186,5.248E9
4250.0,-0.165,0.744,0.459,0.314,-0.878,-0.328,1.048,0.612,0.136,-0.154,0.295,0.035,0.518,0.883,9.0,1.186,5.1619999E9
4500.0,-0.206,0.708,0.455,0.381,-0.826,-0.265,0.993,0.579,0.167,-0.062,0.577,0.329,0.542,0.917,9.0,1.186,5.0749998E9
4750.0,-0.244,0.673,0.443,0.412,-0.722,-0.334,0.94,0.545,0.175,-0.005,0.801,0.566,0.548,0.92,9.0,1.186,4.9859999E9
5000.0,-0.283,0.64,0.427,0.418,-0.555,-0.196,0.887,0.511,0.169,0.022,0.951,0.731,0.541,0.902,9.0,1.186,4.8850002E9
5250.0,-0.322,0.603,0.407,0.411,-0.366,-0.156,0.833,0.473,0.157,0.027,1.025,0.821,0.525,0.868,9.0,1.186,4.776E9
5500.0,-0.364,0.565,0.386,0.394,-0.187,-0.115,0.776,0.434,0.138,0.023,1.036,0.848,0.503,0.825,9.0,1.186,4.6390001E9
5750.0,-0.407,0.527,0.364,0.376,-0.05,-0.069,0.718,0.394,0.119,0.015,1.012,0.841,0.479,0.779,9.0,1.186,4.4659999E9
6000.0,-0.45,0.487,0.34,0.352,0.035,-0.027,0.66,0.351,0.097,0.0,0.956,0.803,0.452,0.727,9.0,1.186,4.29299994E9
