Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
14000.0,9.373,9.944,9.931,10.0,10.061,10.225,10.269,10.309,10.225,9.811,10.105,10.372,10.646,9.975,9.932,10.066,-0.571,0.013,-0.069,-0.061,-0.044,-0.04,0.414,-0.294,-0.267,-0.274,-0.294,-0.12,-0.091,-0.134,7.0,0.242,3.464E7
14500.0,9.253,9.856,9.859,9.932,9.999,10.173,10.221,10.263,10.105,9.729,10.035,10.308,10.586,9.901,9.852,10.002,-0.603,-0.003,-0.073,-0.067,-0.048,-0.042,0.376,-0.306,-0.273,-0.278,-0.314,-0.138,-0.101,-0.15,7.0,0.244,2.999E7
15000.0,9.139,9.772,9.79,9.866,9.939,10.123,10.174,10.219,9.99,9.651,9.968,10.246,10.528,9.83,9.775,9.94,-0.633,-0.018,-0.076,-0.073,-0.051,-0.045,0.339,-0.317,-0.278,-0.282,-0.333,-0.155,-0.11,-0.165,7.0,0.247,2.62E7
15500.0,9.029,9.692,9.723,9.802,9.88,10.074,10.128,10.175,9.88,9.577,9.903,10.187,10.471,9.761,9.701,9.879,-0.663,-0.031,-0.079,-0.078,-0.054,-0.047,0.303,-0.326,-0.284,-0.284,-0.351,-0.171,-0.118,-0.178,7.0,0.25,2.306E7
16000.0,8.924,9.615,9.659,9.741,9.824,10.026,10.083,10.133,9.774,9.505,9.841,10.129,10.417,9.695,9.63,9.821,-0.691,-0.044,-0.082,-0.083,-0.057,-0.05,0.269,-0.336,-0.288,-0.288,-0.367,-0.185,-0.126,-0.191,7.0,0.252,2.034E7
16500.0,8.823,9.541,9.596,9.681,9.769,9.98,10.04,10.092,9.673,9.436,9.78,10.073,10.364,9.631,9.561,9.765,-0.718,-0.055,-0.085,-0.088,-0.06,-0.052,0.237,-0.344,-0.293,-0.291,-0.384,-0.2,-0.134,-0.204,7.0,0.254,1.805E7
17000.0,8.726,9.47,9.536,9.624,9.715,9.935,9.997,10.051,9.575,9.37,9.722,10.018,10.312,9.569,9.495,9.71,-0.744,-0.066,-0.088,-0.091,-0.062,-0.054,0.205,-0.352,-0.296,-0.294,-0.399,-0.213,-0.141,-0.215,7.0,0.257,1.6E7
20000.0,8.213,9.089,9.207,9.309,9.424,9.687,9.762,9.828,9.06,9.01,9.403,9.72,10.029,9.233,9.136,9.411,-0.876,-0.118,-0.102,-0.115,-0.075,-0.066,0.05,-0.393,-0.317,-0.309,-0.48,-0.284,-0.178,-0.275,7.0,0.27,7439000.0
25000.0,7.532,8.561,8.746,8.867,9.011,9.329,9.424,9.506,8.379,8.51,8.955,9.299,9.629,8.761,8.634,8.99,-1.029,-0.185,-0.121,-0.144,-0.095,-0.082,-0.131,-0.445,-0.344,-0.33,-0.583,-0.374,-0.229,-0.356,7.0,0.288,2546000.0
30000.0,6.933,8.077,8.315,8.451,8.617,8.98,9.091,9.188,7.778,8.049,8.535,8.898,9.244,8.321,8.17,8.589,-1.144,-0.238,-0.136,-0.166,-0.111,-0.097,-0.271,-0.486,-0.363,-0.346,-0.665,-0.445,-0.268,-0.419,7.0,0.304,1096000.0
